"AnoBase","Escolaridade","Idade","Sexo"
"2001","2","470","2"
"2001","1","493","2"
"2001","2","482","2"
"2001","2","409","2"
"2001","3","461","1"
"2001","1","429","1"
"2001","2","485","2"
"2001","2","458","2"
"2001","2","488","1"
"2001","4","465","1"
"2001","2","474","1"
"2001","1","499","1"
"2001","2","460","1"
"2001","2","471","1"
"2001","2","474","2"
"2001","2","430","1"
"2001","3","413","2"
"2001","2","473","1"
"2001","2","475","1"
"2001","1","473","2"
"2001","2","462","1"
"2001","5","440","2"
"2001","3","435","1"
"2001","2","476","2"
"2001","2","477","1"
"2001","2","463","2"
"2001","2","466","2"
"2001","2","442","1"
"2001","2","460","1"
"2001","3","436","1"
"2001","2","443","2"
"2001","2","465","2"
"2001"," ","302","1"
"2001","2","484","1"
"2001","9","440","1"
"2001"," ","101","2"
"2001","1","468","2"
"2002"," ","433","2"
"2002"," ","476","2"
"2002","2","490","1"
"2002","2","488","2"
"2002","3","444","1"
"2002","2","483","2"
"2002","1","485","1"
"2002","1","470","2"
"2002","9","464","1"
"2002","5","453","2"
"2002","1","476","2"
"2002","2","487","2"
"2002","1","462","2"
"2002"," ","015","1"
"2002","5","448","1"
"2002","2","459","1"
"2002","1","471","2"
"2002"," ","102","1"
"2002","1","495","2"
"2002","2","460","1"
"2002","9","458","1"
"2002","1","489","2"
"2002","3","471","2"
"2002","9","471","1"
"2002","2","470","1"
"2002","2","464","1"
"2002","2","480","1"
"2002","2","469","2"
"2002"," ","302","1"
"2002","2","480","2"
"2002","3","483","2"
"2002","2","473","2"
"2002","1","470","2"
"2002","1","456","2"
"2002"," ","204","2"
"2002","2","465","1"
"2002"," ","218","1"
"2002","2","465","2"
"2002","2","449","2"
"2002","2","466","1"
"2002","4","461","2"
"2002","1","477","2"
"2002","5","472","1"
"2002","2","476","1"
"2002","2","479","2"
"2002","2","467","1"
"2003","3","430","2"
"2003","4","453","1"
"2003","2","464","1"
"2003","1","464","1"
"2003","2","446","1"
"2003","2","461","1"
"2003","2","473","1"
"2003","2","461","2"
"2003","1","491","1"
"2003","1","458","1"
"2003","2","485","2"
"2003","2","482","2"
"2003","1","475","1"
"2003","9","463","2"
"2003","2","488","2"
